City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Itarema,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
245,Ixtapa,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
246,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
247,Galle,LK,79.54,few clouds,8.5711,81.2335,Welcombe Hotel
251,Sabha,LY,66.24,overcast clouds,29.0331,21.5482,صاحبة الفخامة
252,Saint-Philippe,RE,74.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
254,Naze,JP,59.47,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
255,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
257,Jabiru,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
259,Padang,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
261,Bengkulu,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
262,Misratah,LY,66.24,overcast clouds,29.0331,21.5482,صاحبة الفخامة
263,San Vicente,PH,77.11,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
265,Richards Bay,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
266,Dalbandin,PK,71.46,broken clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
272,Beterou,BJ,85.3,light rain,9.1992,2.2586,Monastère de Kokoubou
275,Lagoa,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
278,Viedma,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
279,Bonthe,SL,79.14,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
281,Boyuibe,BO,56.43,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
282,Wajima,JP,59.47,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
283,Acapulco,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
286,Caxito,AO,62.87,few clouds,-14.6585,17.691,Ritz Lauca
287,Olinda,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
288,Otofuke,JP,59.47,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
290,East London,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
291,Bria,CF,71.85,light rain,6.5423,21.9863,WFP Guesthouse
292,Esperance,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
293,Coahuayana,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
296,Caravelas,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
297,Oyama,JP,59.47,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
298,Saint-Georges,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
300,Neuquen,AR,51.46,broken clouds,-54.8,-68.3,Albatross Hotel
304,Kyaikto,MM,81.57,few clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
305,Roma,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
308,Cabo San Lucas,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
309,Indramayu,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
310,Ardesen,TR,56.86,overcast clouds,38.2059,37.1983,Sword Hotel
311,Faanui,PF,79.9,few clouds,-9.8,-139.0333,Villa Enata
312,Veraval,IN,83.34,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
313,Salvador,BR,67.5,overcast clouds,-30.1811,-50.2056,Hotel Castelo
314,Port Augusta,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
316,Constitucion,MX,67.59,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
317,Salalah,OM,79.63,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
319,Saravan,LA,74.73,scattered clouds,18.5007,102.4166,Manyvong Guest House
320,Kruisfontein,ZA,64.6,scattered clouds,-33.5906,26.891,The Halyards Hotel
324,Hambantota,LK,79.54,few clouds,8.5711,81.2335,Welcombe Hotel
325,Ponta Do Sol,PT,59.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
329,Aranda De Duero,ES,57.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
333,Oussouye,SN,77.18,clear sky,12.485,-16.5469,Auberge du Routard
334,Ciudad Bolivar,VE,84.27,broken clouds,10.6112,-66.8522,Hotel 15 Letras
336,Umm Lajj,SA,74.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
337,Bida,NG,75.18,moderate rain,10.5222,7.4383,HAMDALA HOTEL
340,Santa Cruz,BO,77.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
341,Manta,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
343,Mahebourg,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
345,Grand River South East,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
348,Safaga,EG,88.09,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
