City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Alta Floresta,BR,2022-04-17 02:16:35,-9.8756,-56.0861,72.48,97,100,1.25
176,Paramirim,BR,2022-04-17 02:16:36,-13.4425,-42.2389,69.42,96,92,6.55
177,Sarh,TD,2022-04-17 02:16:36,9.1429,18.3923,83.88,41,4,3.71
178,Hauterive,FR,2022-04-17 02:16:36,46.0901,3.4459,48.96,91,0,2.91
179,Kodiak,US,2022-04-17 02:16:37,57.79,-152.4072,38.71,75,100,13.8
180,Kananga,CD,2022-04-17 02:16:37,-5.8958,22.4178,69.15,96,100,1.36
181,Hofn,IS,2022-04-17 02:13:01,64.2539,-15.2082,46.2,97,99,6.78
182,Jardinopolis,BR,2022-04-17 02:16:37,-21.0178,-47.7639,62.02,67,0,6.91
183,Jining,CN,2022-04-17 02:16:38,35.405,116.5814,61.65,28,100,9.84
184,Manicore,BR,2022-04-17 02:16:38,-5.8092,-61.3003,73.87,97,100,0.38
185,Saint-Philippe,RE,2022-04-17 02:15:34,-21.3585,55.7679,71.22,78,39,8.66
186,Bredasdorp,ZA,2022-04-17 02:17:38,-34.5322,20.0403,56.14,83,2,7.65
187,Limbang,MY,2022-04-17 02:17:39,4.75,115.0,86.11,63,7,4.23
188,Khilok,RU,2022-04-17 02:17:39,51.3674,110.4676,44.6,54,100,9.78
189,San Quintin,MX,2022-04-17 02:17:39,30.4833,-115.95,60.28,79,0,21.34
190,Cabinda,AO,2022-04-17 02:17:40,-5.55,12.2,77.23,92,43,5.99
191,Bangassou,CF,2022-04-17 02:17:40,4.7413,22.8184,69.28,93,66,1.7
192,Kudahuvadhoo,MV,2022-04-17 02:17:40,2.6708,72.8944,83.79,74,94,11.48
193,Prabumulih,ID,2022-04-17 02:17:41,-3.45,104.25,81.27,82,57,3.24
194,San Lorenzo,PY,2022-04-17 02:17:41,-25.3333,-57.5333,65.34,63,75,6.91
195,Vao,NC,2022-04-17 02:17:41,-22.6667,167.4833,76.8,70,0,7.38
196,Mayo,US,2022-04-17 02:17:42,38.8876,-76.5119,62.76,77,75,14.97
197,Mantua,IT,2022-04-17 02:17:42,45.1667,10.7833,52.84,76,35,6.04
198,Cabedelo,BR,2022-04-17 02:17:42,-6.9811,-34.8339,81.27,85,80,7.87
199,Saldanha,ZA,2022-04-17 02:17:43,-33.0117,17.9442,58.19,69,0,9.95
200,Madisonville,US,2022-04-17 02:17:43,37.3281,-87.4989,55.26,74,85,7.78
201,Broken Hill,AU,2022-04-17 02:17:43,-31.95,141.4333,81.88,24,3,19.91
202,Port Blair,IN,2022-04-17 02:17:44,11.6667,92.75,86.04,70,20,2.3
203,Limon,CR,2022-04-17 02:17:44,10.0,-83.0333,78.19,83,100,4.54
204,Fare,PF,2022-04-17 02:17:44,-16.7,-151.0167,81.91,70,3,12.17
205,Port Lincoln,AU,2022-04-17 02:15:25,-34.7333,135.8667,66.49,74,100,9.08
206,Lagos,NG,2022-04-17 02:13:22,6.5833,3.75,78.46,86,31,3.36
207,Bata,GQ,2022-04-17 02:17:45,1.8639,9.7658,78.19,86,99,3.98
208,Maceio,BR,2022-04-17 02:17:45,-9.6658,-35.7353,78.24,88,40,3.44
209,Huambo,AO,2022-04-17 02:17:45,-12.7761,15.7392,58.53,97,100,2.66
210,Namibe,AO,2022-04-17 02:16:46,-15.1961,12.1522,72.39,75,75,6.53
211,Kiunga,PG,2022-04-17 02:17:46,-6.1219,141.2906,85.6,67,100,2.89
212,Orange,US,2022-04-17 02:17:21,33.7,-117.7675,67.39,80,75,7.0
213,Nemuro,JP,2022-04-17 02:16:51,43.3236,145.575,40.57,76,4,15.43
214,Uyovu,TZ,2022-04-17 02:17:46,-3.2833,31.5258,63.37,98,100,0.76
215,Codrington,AU,2022-04-17 02:17:46,-38.2667,141.9667,79.3,30,100,24.43
216,Tonj,SS,2022-04-17 02:17:47,7.2737,28.6822,76.19,72,82,3.94
217,Havre-Saint-Pierre,CA,2022-04-17 02:17:47,50.2334,-63.5986,33.8,86,0,6.91
218,Faanui,PF,2022-04-17 02:17:47,-16.4833,-151.75,81.34,72,6,11.7
219,Pontarlier,FR,2022-04-17 02:17:48,46.8333,6.25,40.01,64,4,10.6
220,Gravdal,NO,2022-04-17 02:17:48,68.1214,13.5031,41.95,98,100,16.33
221,Tabuk,PH,2022-04-17 02:17:48,17.4189,121.4443,81.86,67,41,6.08
222,Roald,NO,2022-04-17 02:17:48,62.5833,6.1333,43.75,93,75,6.91
223,Muisne,EC,2022-04-17 02:15:33,0.6,-80.0333,76.77,84,100,6.49
224,Isangel,VU,2022-04-17 02:17:49,-19.55,169.2667,84.02,70,20,6.24
225,Mange,SL,2022-04-17 02:17:49,8.9167,-12.85,74.59,77,44,1.95
226,East London,ZA,2022-04-17 02:17:49,-33.0153,27.9116,61.38,77,100,6.06
227,Inverell,AU,2022-04-17 02:17:50,-29.7833,151.1167,77.67,41,0,8.01
228,San Borja,BO,2022-04-17 02:17:50,-14.8167,-66.85,69.6,72,52,3.38
229,Rio Grande,BR,2022-04-17 02:17:50,-32.035,-52.0986,54.95,74,85,8.93
230,Sur,OM,2022-04-17 02:18:51,22.5667,59.5289,86.41,36,32,5.75
231,Hasaki,JP,2022-04-17 02:18:51,35.7333,140.8333,64.29,54,100,9.62
232,Eyl,SO,2022-04-17 02:18:51,7.9803,49.8164,79.36,81,81,2.46
233,Comodoro Rivadavia,AR,2022-04-17 02:15:00,-45.8667,-67.5,46.26,76,0,6.91
234,Coihaique,CL,2022-04-17 02:18:51,-45.5752,-72.0662,44.55,81,0,5.75
235,Hirara,JP,2022-04-17 02:18:52,24.8,125.2833,73.67,64,75,11.5
236,Cedral,MX,2022-04-17 02:18:52,23.8,-100.7333,81.1,8,76,6.35
237,Shimoda,JP,2022-04-17 02:18:52,34.6667,138.95,59.36,74,100,9.48
238,Ancud,CL,2022-04-17 02:18:53,-41.8697,-73.8203,55.22,88,0,4.83
239,Bambous Virieux,MU,2022-04-17 02:18:53,-20.3428,57.7575,77.25,88,75,13.8
240,Maragogi,BR,2022-04-17 02:18:53,-9.0122,-35.2225,78.73,88,92,7.4
241,Alyangula,AU,2022-04-17 02:15:32,-13.8483,136.4192,83.88,70,73,13.42
242,Constitucion,CL,2022-04-17 02:18:54,-35.3333,-72.4167,54.32,75,0,3.02
243,Elliot Lake,CA,2022-04-17 02:18:54,46.3834,-82.6331,25.0,72,100,9.1
244,Belgrade,RS,2022-04-17 02:14:15,44.804,20.4651,42.24,59,0,11.5
245,Vila Do Maio,CV,2022-04-17 02:18:54,15.1333,-23.2167,70.59,80,90,13.98
246,Ukiah,US,2022-04-17 02:18:55,39.1502,-123.2078,58.44,63,0,3.44
247,Siedlce,PL,2022-04-17 02:18:55,52.1677,22.2901,31.24,89,29,6.87
248,Champoton,MX,2022-04-17 02:18:55,19.35,-90.7167,79.95,78,5,11.99
249,Arys,KZ,2022-04-17 02:18:56,42.4252,68.795,66.52,45,100,2.28
250,Banjar,ID,2022-04-17 02:18:56,-8.19,114.9675,86.77,70,92,2.53
251,Palmer,US,2022-04-17 02:18:56,42.1584,-72.3287,44.15,85,100,3.44
252,Yulara,AU,2022-04-17 02:18:57,-25.2406,130.9889,84.04,30,5,11.5
253,Nanortalik,GL,2022-04-17 02:18:57,60.1432,-45.2371,29.05,84,93,8.21
254,Ugoofaaru,MV,2022-04-17 02:18:57,5.6667,73.0,84.49,72,71,9.26
255,Port Hedland,AU,2022-04-17 02:15:19,-20.3167,118.5667,98.65,14,11,10.36
256,Baglung,NP,2022-04-17 02:18:57,28.2719,83.5898,76.8,18,0,3.11
257,Nurota,UZ,2022-04-17 02:18:58,40.5614,65.6886,63.79,47,96,8.14
258,Brae,GB,2022-04-17 02:18:58,60.3964,-1.353,46.17,94,100,16.02
259,Katsuura,JP,2022-04-17 02:18:52,35.1333,140.3,58.98,58,100,10.31
260,Luau,AO,2022-04-17 02:18:58,-10.7073,22.2247,64.02,98,100,2.57
261,Aligudarz,IR,2022-04-17 02:18:59,33.4006,49.6949,41.59,45,0,2.57
262,Swedru,GH,2022-04-17 02:18:59,5.5371,-0.6998,74.95,91,100,3.53
263,Saint-Pierre,RE,2022-04-17 02:14:33,-21.3393,55.4781,73.08,80,0,5.75
264,Kavaratti,IN,2022-04-17 02:19:00,10.5669,72.642,83.86,72,31,5.82
265,Sao Jose Da Coroa Grande,BR,2022-04-17 02:19:00,-8.8978,-35.1478,79.07,87,64,7.85
266,Klaksvik,FO,2022-04-17 02:19:00,62.2266,-6.589,47.32,97,100,22.53
267,Zaltan,LY,2022-04-17 02:19:00,32.947,11.8665,60.75,73,54,14.7
268,Cabo San Lucas,MX,2022-04-17 02:19:01,22.8909,-109.9124,82.71,26,75,4.61
269,Pochutla,MX,2022-04-17 02:19:01,15.7432,-96.4661,84.81,66,10,7.18
270,Richards Bay,ZA,2022-04-17 02:19:01,-28.783,32.0377,63.59,88,100,7.27
271,Itarema,BR,2022-04-17 02:19:02,-2.9248,-39.9167,77.79,85,85,5.44
272,Carnarvon,AU,2022-04-17 02:14:19,-24.8667,113.6333,77.07,69,75,14.97
273,Riyadh,SA,2022-04-17 02:19:02,24.6877,46.7219,71.74,23,2,8.43
274,Waterloo,CA,2022-04-17 02:17:01,43.4668,-80.5164,34.65,74,100,8.05
275,Portland,US,2022-04-17 02:18:28,45.5234,-122.6762,49.62,66,75,18.41
276,Barrow,US,2022-04-17 02:19:03,71.2906,-156.7887,8.62,72,0,18.41
277,Nalut,LY,2022-04-17 02:19:03,30.3333,10.85,54.05,66,5,10.6
278,Verkhoyansk,RU,2022-04-17 02:20:03,67.5447,133.385,17.92,80,100,4.52
279,Creel,MX,2022-04-17 02:20:04,27.75,-107.6333,55.53,20,100,5.88
280,Namatanai,PG,2022-04-17 02:20:05,-3.6667,152.4333,84.38,71,70,7.52
281,Vereshchagino,RU,2022-04-17 02:20:05,58.0789,54.6557,24.82,87,88,2.77
282,Thunder Bay,CA,2022-04-17 02:16:08,48.4001,-89.3168,26.58,68,100,6.91
283,Nouadhibou,MR,2022-04-17 02:20:06,20.931,-17.0347,62.58,94,75,11.5
284,Westport,US,2022-04-17 02:18:51,41.1415,-73.3579,50.32,89,100,12.66
285,Formosa,AR,2022-04-17 02:20:06,-26.1775,-58.1781,64.38,77,0,3.44
286,Lethem,GY,2022-04-17 02:20:06,3.3803,-59.7968,79.7,71,93,11.12
287,Ponta Do Sol,PT,2022-04-17 02:20:07,32.6667,-17.1,70.43,43,100,7.45
288,Grindavik,IS,2022-04-17 02:20:07,63.8424,-22.4338,44.55,93,75,13.8
289,Aras,ES,2022-04-17 02:20:07,42.5617,-2.356,45.01,76,0,9.22
290,Torrevieja,ES,2022-04-17 02:20:08,37.9787,-0.6822,63.81,63,0,1.01
291,Mount Isa,AU,2022-04-17 02:20:08,-20.7333,139.5,91.17,17,5,8.05
292,Dalbandin,PK,2022-04-17 02:20:08,28.8947,64.4101,79.65,18,11,5.59
293,Hurghada,EG,2022-04-17 02:20:09,27.2574,33.8129,72.97,33,0,4.25
294,Prado,BR,2022-04-17 02:20:09,-17.3411,-39.2208,76.23,73,100,9.08
295,Chuy,UY,2022-04-17 02:19:09,-33.6971,-53.4616,59.18,85,0,5.39
