City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Sechura,PE,-12.0432,-77.0282,66.38,62,75,5.75,broken clouds
158,Gat,LY,29.0331,21.5482,66.24,58,97,16.4,overcast clouds
159,Byron Bay,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
160,Hualmay,PE,-12.0432,-77.0282,66.38,62,75,5.75,broken clouds
161,Roald,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
162,Kaduna,NG,10.5222,7.4383,75.18,80,100,9.1,moderate rain
163,Sitka,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
164,Muli,MV,-0.6,73.0833,82.53,75,39,6.17,scattered clouds
165,Storslett,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
166,Gamba,GA,-2.65,10.0,77.97,90,100,4.34,overcast clouds
167,General Roca,AR,-54.8,-68.3,51.46,66,75,0.0,broken clouds
168,Cheremushskiy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
169,Hamilton,US,39.1834,-84.5333,52.88,43,100,5.99,overcast clouds
170,Tamandare,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
171,Mzimba,MW,-11.9,33.6,62.29,95,89,6.46,overcast clouds
172,Illapel,CL,-53.15,-70.9167,48.31,87,75,9.22,light rain
173,Baykit,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
174,Souillac,MU,-20.5167,57.5167,77.38,94,75,1.14,light rain
175,Odesskoye,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
176,Gao,ML,12.7441,-8.0726,92.61,25,43,6.44,scattered clouds
177,Pitimbu,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
178,Northam,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
179,Iraquara,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
180,Chuy,UY,-33.6971,-53.4616,64.83,68,100,8.23,overcast clouds
181,Matias Romero,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
182,Nova Aurora,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
183,Elbistan,TR,38.2059,37.1983,56.86,45,100,4.88,overcast clouds
184,La Joya,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
185,Sao Filipe,CV,15.1333,-23.2167,72.39,81,0,18.14,clear sky
186,Portland,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
187,La Cruz,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
188,Srednekolymsk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
189,Balkhash,KZ,48.5722,83.6542,48.99,31,45,4.65,scattered clouds
190,Norman Wells,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
191,Amahai,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
192,Macon,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
193,Belushya Guba,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
194,Naryan-Mar,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
195,Port Elizabeth,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
196,Mehamn,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
197,Novorzhev,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
198,Skjervoy,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
199,Tevaitoa,PF,-9.8,-139.0333,79.9,77,12,17.29,few clouds
200,Luderitz,NA,-22.116,14.2845,62.44,77,1,6.91,clear sky
